"date","segment","units","net_sales_eur"
2022-01-10,"Powertrain Mounts",4295,246710.73
2022-01-10,"Sealing",69246,224414.27
2022-01-11,"Cable Protection",17664,115243.3
2022-01-11,"Chassis NVH",9472,222310.18
2022-01-11,"Hoses & Bellows",13195,199263.87
2022-01-11,"Other Automotive",9518,86290.59
2022-01-11,"Powertrain Mounts",4764,279885.24
2022-01-11,"Sealing",76017,240995.63
2022-01-12,"Cable Protection",18593,121173.22
2022-01-12,"Chassis NVH",9375,225939.48
2022-01-12,"Hoses & Bellows",12709,188192.86
2022-01-12,"Other Automotive",9106,79882.08
2022-01-12,"Powertrain Mounts",4779,278548.2
2022-01-12,"Sealing",76788,237493.52
2022-01-13,"Cable Protection",19288,125704.04
2022-01-13,"Chassis NVH",9003,215861.06
2022-01-13,"Hoses & Bellows",12446,187727.6
2022-01-13,"Other Automotive",9741,90827.42
2022-01-13,"Powertrain Mounts",4340,258723.9
2022-01-13,"Sealing",79388,257967.49
2022-01-14,"Cable Protection",16744,107853.8
2022-01-14,"Chassis NVH",8386,201914.24
2022-01-14,"Hoses & Bellows",11518,171217.95
2022-01-14,"Other Automotive",8786,75949.83
2022-01-14,"Powertrain Mounts",4103,242806.86
2022-01-14,"Sealing",69477,228826.5
2022-01-15,"Cable Protection",3336,21857.63
2022-01-15,"Chassis NVH",2828,68400.47
2022-01-15,"Hoses & Bellows",4090,60940.64
2022-01-15,"Other Automotive",2399,21723
2022-01-15,"Powertrain Mounts",1330,77782.8
2022-01-15,"Sealing",16098,51937.94
2022-01-16,"Cable Protection",1857,12083.52
2022-01-16,"Chassis NVH",2400,58739.63
2022-01-16,"Hoses & Bellows",3163,46650.13
2022-01-16,"Other Automotive",1613,14446.9
2022-01-16,"Powertrain Mounts",1002,57556.16
2022-01-16,"Sealing",10683,34847.14
2022-01-17,"Cable Protection",17084,108094.99
2022-01-17,"Chassis NVH",9476,224255.27
2022-01-17,"Hoses & Bellows",12851,192686
2022-01-17,"Other Automotive",8598,78200.65
2022-01-17,"Powertrain Mounts",4332,250099.35
2022-01-17,"Sealing",67061,213654.37
2022-01-18,"Cable Protection",17337,112279.41
2022-01-18,"Chassis NVH",8867,210766.69
2022-01-18,"Hoses & Bellows",12378,180932.71
2022-01-18,"Other Automotive",9015,83324.77
2022-01-18,"Powertrain Mounts",4545,262936.17
2022-01-18,"Sealing",73025,230393.53
2022-01-19,"Cable Protection",16854,110845.14
2022-01-19,"Chassis NVH",9241,220221.25
2022-01-19,"Hoses & Bellows",13248,195588.58
2022-01-19,"Other Automotive",9123,82721.38
2022-01-19,"Powertrain Mounts",4480,265232.36
2022-01-19,"Sealing",72099,225205.82
2022-01-20,"Cable Protection",16257,106110.29
2022-01-20,"Chassis NVH",9214,214457.3
2022-01-20,"Hoses & Bellows",13413,197564.57
2022-01-20,"Other Automotive",9651,87244.47
2022-01-20,"Powertrain Mounts",4327,251278.09
2022-01-20,"Sealing",68852,211946.12
2022-01-21,"Cable Protection",15078,95338.5
2022-01-21,"Chassis NVH",8560,200422.48
2022-01-21,"Hoses & Bellows",11685,178320.67
2022-01-21,"Other Automotive",8950,76130.74
2022-01-21,"Powertrain Mounts",3833,220375.55
2022-01-21,"Sealing",59252,193898.79
2022-01-22,"Cable Protection",3192,19943.92
2022-01-22,"Chassis NVH",2944,71972.14
2022-01-22,"Hoses & Bellows",4224,62782.53
2022-01-22,"Other Automotive",2257,20353.09
2022-01-22,"Powertrain Mounts",1356,77554
2022-01-22,"Sealing",16006,50050.71
2022-01-23,"Cable Protection",1854,12121.19
2022-01-23,"Chassis NVH",2217,53208.55
2022-01-23,"Hoses & Bellows",3289,49516.75
2022-01-23,"Other Automotive",1726,15812.91
2022-01-23,"Powertrain Mounts",1062,61073.23
2022-01-23,"Sealing",9864,30447.59
2022-01-24,"Cable Protection",15960,104278.23
2022-01-24,"Chassis NVH",9224,216869.93
2022-01-24,"Hoses & Bellows",13747,212693.37
2022-01-24,"Other Automotive",8898,80903.89
2022-01-24,"Powertrain Mounts",4462,261401.38
2022-01-24,"Sealing",68657,216508.08
2022-01-25,"Cable Protection",17347,112063.06
2022-01-25,"Chassis NVH",9962,234502.69
2022-01-25,"Hoses & Bellows",14786,215226.4
2022-01-25,"Other Automotive",9348,84009.33
2022-01-25,"Powertrain Mounts",4411,257570.93
2022-01-25,"Sealing",69716,216255.26
2022-01-26,"Cable Protection",16771,109906.28
2022-01-26,"Chassis NVH",10434,257419.02
2022-01-26,"Hoses & Bellows",14120,213302.57
2022-01-26,"Other Automotive",9811,88560.59
2022-01-26,"Powertrain Mounts",4670,273557.08
2022-01-26,"Sealing",67312,211749.73
2022-01-27,"Cable Protection",17641,115178.55
2022-01-27,"Chassis NVH",10603,253479.39
2022-01-27,"Hoses & Bellows",13730,204471.47
2022-01-27,"Other Automotive",10156,89995.59
2022-01-27,"Powertrain Mounts",4565,263240.34
2022-01-27,"Sealing",66560,210189.35
2022-01-28,"Cable Protection",15396,97474.99
2022-01-28,"Chassis NVH",9704,239292.24
2022-01-28,"Hoses & Bellows",11804,179241.54
2022-01-28,"Other Automotive",9000,80899.01
2022-01-28,"Powertrain Mounts",3862,221742.58
2022-01-28,"Sealing",60200,188641.9
2022-01-29,"Cable Protection",3108,19735.77
2022-01-29,"Chassis NVH",3337,77054.02
2022-01-29,"Hoses & Bellows",4123,63027.53
2022-01-29,"Other Automotive",2361,21114.37
2022-01-29,"Powertrain Mounts",1235,72210.04
2022-01-29,"Sealing",14966,48664.54
2022-01-30,"Cable Protection",1803,11770.59
2022-01-30,"Chassis NVH",2558,61424.43
2022-01-30,"Hoses & Bellows",3386,51404.15
2022-01-30,"Other Automotive",1624,14709.43
2022-01-30,"Powertrain Mounts",958,55519.13
2022-01-30,"Sealing",9848,31688.03
2022-01-31,"Cable Protection",15443,98838.55
2022-01-31,"Chassis NVH",8849,213418.4
2022-01-31,"Hoses & Bellows",11671,174058.69
2022-01-31,"Other Automotive",8690,80027.43
2022-01-31,"Powertrain Mounts",4139,238558.55
2022-01-31,"Sealing",59040,184715.82
2022-02-01,"Cable Protection",19385,126522
2022-02-01,"Chassis NVH",9880,232513.24
2022-02-01,"Hoses & Bellows",14312,214415.08
2022-02-01,"Other Automotive",9828,87460.35
2022-02-01,"Powertrain Mounts",4621,264172.09
2022-02-01,"Sealing",68729,214392.13
2022-02-02,"Cable Protection",20352,133351.25
2022-02-02,"Chassis NVH",10863,255051.47
2022-02-02,"Hoses & Bellows",14821,218640.7
2022-02-02,"Other Automotive",9767,89138.98
2022-02-02,"Powertrain Mounts",4929,279911.27
2022-02-02,"Sealing",76925,248963.06
2022-02-03,"Cable Protection",19166,124822.42
2022-02-03,"Chassis NVH",10661,258415.85
2022-02-03,"Hoses & Bellows",14430,220119.32
2022-02-03,"Other Automotive",9373,85750.55
2022-02-03,"Powertrain Mounts",4485,260006.55
2022-02-03,"Sealing",78055,253225.54
2022-02-04,"Cable Protection",18591,118038.52
2022-02-04,"Chassis NVH",8600,205680.36
2022-02-04,"Hoses & Bellows",12262,183427.13
2022-02-04,"Other Automotive",10431,95204.81
2022-02-04,"Powertrain Mounts",4275,252512.34
2022-02-04,"Sealing",67850,204348.01
2022-02-05,"Cable Protection",3768,24849.84
2022-02-05,"Chassis NVH",3044,73389.82
2022-02-05,"Hoses & Bellows",4291,63469.41
2022-02-05,"Other Automotive",2494,22381.58
2022-02-05,"Powertrain Mounts",1345,76154.13
2022-02-05,"Sealing",17381,55499.24
2022-02-06,"Cable Protection",2011,12611.97
2022-02-06,"Chassis NVH",2409,57311.48
2022-02-06,"Hoses & Bellows",3266,50198.69
2022-02-06,"Other Automotive",1636,14897.76
2022-02-06,"Powertrain Mounts",921,52398.11
2022-02-06,"Sealing",10758,33794.45
2022-02-07,"Cable Protection",20287,130360.54
2022-02-07,"Chassis NVH",9818,236454.53
2022-02-07,"Hoses & Bellows",13214,194934.47
2022-02-07,"Other Automotive",10557,94135.01
2022-02-07,"Powertrain Mounts",4814,278458
2022-02-07,"Sealing",81859,257570.4
2022-02-08,"Cable Protection",21430,140204.11
2022-02-08,"Chassis NVH",10403,248096.56
2022-02-08,"Hoses & Bellows",14135,213343.53
2022-02-08,"Other Automotive",10998,98561.2
2022-02-08,"Powertrain Mounts",4933,296078.02
2022-02-08,"Sealing",81457,267618.92
2022-02-09,"Cable Protection",21872,143214.44
2022-02-09,"Chassis NVH",11004,260892.17
2022-02-09,"Hoses & Bellows",13955,215977.13
2022-02-09,"Other Automotive",11649,108720.75
2022-02-09,"Powertrain Mounts",4902,286819.93
2022-02-09,"Sealing",84194,255373.73
2022-02-10,"Cable Protection",20607,129341.44
2022-02-10,"Chassis NVH",11513,274525.79
2022-02-10,"Hoses & Bellows",13562,209151.65
2022-02-10,"Other Automotive",11293,101549.93
2022-02-10,"Powertrain Mounts",4645,272042.77
2022-02-10,"Sealing",83685,270024.9
2022-02-11,"Cable Protection",19147,130518.88
2022-02-11,"Chassis NVH",10814,266518.53
2022-02-11,"Hoses & Bellows",12627,189417
2022-02-11,"Other Automotive",10985,98602.35
2022-02-11,"Powertrain Mounts",4167,239203.45
2022-02-11,"Sealing",75269,236027.63
2022-02-12,"Cable Protection",3586,24214.19
2022-02-12,"Chassis NVH",3578,89877
2022-02-12,"Hoses & Bellows",4415,67007.26
2022-02-12,"Other Automotive",2790,24695.78
2022-02-12,"Powertrain Mounts",1276,74787.64
2022-02-12,"Sealing",16223,53432.24
2022-02-13,"Cable Protection",1912,12638.18
2022-02-13,"Chassis NVH",2839,66580.78
2022-02-13,"Hoses & Bellows",3319,50512.47
2022-02-13,"Other Automotive",1747,15855.88
2022-02-13,"Powertrain Mounts",1051,61233.97
2022-02-13,"Sealing",10124,32877.43
2022-02-14,"Cable Protection",19103,125053.11
2022-02-14,"Chassis NVH",9990,237821.26
2022-02-14,"Hoses & Bellows",13247,194682.01
2022-02-14,"Other Automotive",10277,92423.9
2022-02-14,"Powertrain Mounts",4458,267926.82
2022-02-14,"Sealing",75795,237044.86
2022-02-15,"Cable Protection",20777,135057.91
2022-02-15,"Chassis NVH",9807,235207.18
2022-02-15,"Hoses & Bellows",13846,215155.75
2022-02-15,"Other Automotive",11028,98286.92
2022-02-15,"Powertrain Mounts",4867,275931.1
2022-02-15,"Sealing",79253,255348.87
2022-02-16,"Cable Protection",20643,134501.05
2022-02-16,"Chassis NVH",9702,233606.83
2022-02-16,"Hoses & Bellows",14412,223081.61
2022-02-16,"Other Automotive",10961,99556.77
2022-02-16,"Powertrain Mounts",4779,276904.85
2022-02-16,"Sealing",76043,238851.58
2022-02-17,"Cable Protection",20492,134268.92
2022-02-17,"Chassis NVH",10098,235354.4
2022-02-17,"Hoses & Bellows",14525,217478.16
2022-02-17,"Other Automotive",9763,87960.44
2022-02-17,"Powertrain Mounts",4657,268688.89
2022-02-17,"Sealing",72423,232015.49
2022-02-18,"Cable Protection",17662,115375.28
2022-02-18,"Chassis NVH",8488,203445.59
2022-02-18,"Hoses & Bellows",11471,177554.71
2022-02-18,"Other Automotive",9864,90391.09
2022-02-18,"Powertrain Mounts",4219,246932.61
2022-02-18,"Sealing",69250,226773.65
2022-02-19,"Cable Protection",3609,22688.64
2022-02-19,"Chassis NVH",2952,69614.8
2022-02-19,"Hoses & Bellows",4025,60827.19
2022-02-19,"Other Automotive",2466,21964.82
2022-02-19,"Powertrain Mounts",1364,80312.22
2022-02-19,"Sealing",16181,49894.3
2022-02-20,"Cable Protection",1941,12438.63
2022-02-20,"Chassis NVH",2305,55702.86
2022-02-20,"Hoses & Bellows",3378,50002.5
2022-02-20,"Other Automotive",1659,15253.47
2022-02-20,"Powertrain Mounts",1060,62161.44
2022-02-20,"Sealing",9628,31066.43
2022-02-21,"Cable Protection",20206,130854.26
2022-02-21,"Chassis NVH",9660,233810.86
2022-02-21,"Hoses & Bellows",13611,205595.25
2022-02-21,"Other Automotive",10144,90307.42
2022-02-21,"Powertrain Mounts",4849,276367.74
2022-02-21,"Sealing",72652,227328.6
2022-02-22,"Cable Protection",20373,126770.01
2022-02-22,"Chassis NVH",9690,231619.83
2022-02-22,"Hoses & Bellows",13897,209343.32
2022-02-22,"Other Automotive",10443,93851.06
2022-02-22,"Powertrain Mounts",4924,278737.3
2022-02-22,"Sealing",76796,238274.27
2022-02-23,"Cable Protection",20255,132506.75
2022-02-23,"Chassis NVH",9766,234705.88
2022-02-23,"Hoses & Bellows",14567,217483.61
2022-02-23,"Other Automotive",10321,90897.98
2022-02-23,"Powertrain Mounts",4969,289922.69
2022-02-23,"Sealing",80239,258221.67
2022-02-24,"Cable Protection",20429,138331.05
2022-02-24,"Chassis NVH",9822,234394.82
2022-02-24,"Hoses & Bellows",14482,218667.62
2022-02-24,"Other Automotive",10891,96214.39
2022-02-24,"Powertrain Mounts",4878,275471.35
2022-02-24,"Sealing",79603,255862.02
2022-02-25,"Cable Protection",19452,130682.21
2022-02-25,"Chassis NVH",9270,224921.95
2022-02-25,"Hoses & Bellows",12642,193879.92
2022-02-25,"Other Automotive",10002,90118.91
2022-02-25,"Powertrain Mounts",4193,249882.4
2022-02-25,"Sealing",71819,227724.64
2022-02-26,"Cable Protection",3937,25180.26
2022-02-26,"Chassis NVH",3129,73549.72
2022-02-26,"Hoses & Bellows",4472,65194.47
2022-02-26,"Other Automotive",2644,23162.83
2022-02-26,"Powertrain Mounts",1189,69481.84
2022-02-26,"Sealing",16777,54559.17
2022-02-27,"Cable Protection",2134,14522.81
2022-02-27,"Chassis NVH",2359,55773.99
2022-02-27,"Hoses & Bellows",3536,53300.89
2022-02-27,"Other Automotive",1665,14789.85
2022-02-27,"Powertrain Mounts",926,53472.64
2022-02-27,"Sealing",9861,31554.87
2022-02-28,"Cable Protection",20229,130996.64
2022-02-28,"Chassis NVH",9637,238207.4
2022-02-28,"Hoses & Bellows",14164,212714.97
2022-02-28,"Other Automotive",9978,89384.55
2022-02-28,"Powertrain Mounts",4440,267248.36
2022-02-28,"Sealing",71966,233660.21
2022-03-01,"Cable Protection",18573,118191.08
2022-03-01,"Chassis NVH",10145,240024.85
2022-03-01,"Hoses & Bellows",13395,207742.11
2022-03-01,"Other Automotive",10473,92734.1
2022-03-01,"Powertrain Mounts",4425,250414.95
2022-03-01,"Sealing",67799,219580.4
2022-03-02,"Cable Protection",18620,117728.29
2022-03-02,"Chassis NVH",10628,246100.2
2022-03-02,"Hoses & Bellows",14500,216470.98
2022-03-02,"Other Automotive",10825,96242.51
2022-03-02,"Powertrain Mounts",4437,259254.78
2022-03-02,"Sealing",71299,227247.22
2022-03-03,"Cable Protection",18597,122704.46
2022-03-03,"Chassis NVH",10326,247172.06
2022-03-03,"Hoses & Bellows",12874,190766.69
2022-03-03,"Other Automotive",10793,96369.24
2022-03-03,"Powertrain Mounts",4322,249438.03
2022-03-03,"Sealing",68426,219063.86
2022-03-04,"Cable Protection",16480,109292.13
2022-03-04,"Chassis NVH",9435,230854.58
2022-03-04,"Hoses & Bellows",12656,191132.96
2022-03-04,"Other Automotive",9659,88594.29
2022-03-04,"Powertrain Mounts",4017,234802.45
2022-03-04,"Sealing",63877,204109.56
2022-03-05,"Cable Protection",3374,21799.13
2022-03-05,"Chassis NVH",3184,75330.63
2022-03-05,"Hoses & Bellows",4762,72087.53
2022-03-05,"Other Automotive",2542,22725.88
2022-03-05,"Powertrain Mounts",1236,71807.34
2022-03-05,"Sealing",15111,48160.46
2022-03-06,"Cable Protection",1739,11417.06
2022-03-06,"Chassis NVH",2448,57446.38
2022-03-06,"Hoses & Bellows",3515,54973.08
2022-03-06,"Other Automotive",1696,15097.74
2022-03-06,"Powertrain Mounts",953,54553.6
2022-03-06,"Sealing",10139,32364.06
2022-03-07,"Cable Protection",15644,102182.05
2022-03-07,"Chassis NVH",9263,221468.88
2022-03-07,"Hoses & Bellows",12859,197353.97
2022-03-07,"Other Automotive",9793,89871.96
2022-03-07,"Powertrain Mounts",4007,238752.34
2022-03-07,"Sealing",62959,203466.49
2022-03-08,"Cable Protection",17649,113078.04
2022-03-08,"Chassis NVH",9982,241611.93
2022-03-08,"Hoses & Bellows",14275,210550.7
2022-03-08,"Other Automotive",10157,93113.49
2022-03-08,"Powertrain Mounts",4259,245009.73
2022-03-08,"Sealing",65746,213177.95
2022-03-09,"Cable Protection",16107,103508.5
2022-03-09,"Chassis NVH",9998,243251.68
2022-03-09,"Hoses & Bellows",14004,210186.42
2022-03-09,"Other Automotive",10213,90606.9
2022-03-09,"Powertrain Mounts",4445,255416.5
2022-03-09,"Sealing",65077,206865.3
2022-03-10,"Cable Protection",16885,111135.69
2022-03-10,"Chassis NVH",9747,232198.27
2022-03-10,"Hoses & Bellows",13214,195717.6
2022-03-10,"Other Automotive",9608,87075.1
2022-03-10,"Powertrain Mounts",4255,247550.33
2022-03-10,"Sealing",63669,196143.64
2022-03-11,"Cable Protection",16596,109263.51
2022-03-11,"Chassis NVH",9212,223849.56
2022-03-11,"Hoses & Bellows",11785,176771.75
2022-03-11,"Other Automotive",8768,80885.15
2022-03-11,"Powertrain Mounts",3779,218422.42
2022-03-11,"Sealing",62214,200954.29
2022-03-12,"Cable Protection",3631,23054.98
2022-03-12,"Chassis NVH",3078,75327.86
2022-03-12,"Hoses & Bellows",4376,65907.26
2022-03-12,"Other Automotive",2403,21411.07
2022-03-12,"Powertrain Mounts",1187,69318.09
2022-03-12,"Sealing",14739,45934.03
2022-03-13,"Cable Protection",2052,13259.11
2022-03-13,"Chassis NVH",2457,58426.67
2022-03-13,"Hoses & Bellows",3282,48332.07
2022-03-13,"Other Automotive",1719,15320.57
2022-03-13,"Powertrain Mounts",1014,56600.09
2022-03-13,"Sealing",9325,30402.81
2022-03-14,"Cable Protection",17889,114832.16
2022-03-14,"Chassis NVH",9692,232007.91
2022-03-14,"Hoses & Bellows",12668,184107.92
2022-03-14,"Other Automotive",10126,91472.89
2022-03-14,"Powertrain Mounts",3986,232804.97
2022-03-14,"Sealing",64766,209371.02
2022-03-15,"Cable Protection",18054,115819.73
2022-03-15,"Chassis NVH",10182,240067.13
2022-03-15,"Hoses & Bellows",13062,193589.23
2022-03-15,"Other Automotive",11015,99529.7
2022-03-15,"Powertrain Mounts",4337,256804.29
2022-03-15,"Sealing",68996,217592.2
2022-03-16,"Cable Protection",18888,123544.41
2022-03-16,"Chassis NVH",9513,224424.34
2022-03-16,"Hoses & Bellows",14034,210964.72
2022-03-16,"Other Automotive",9931,90777.18
2022-03-16,"Powertrain Mounts",4815,287653.87
2022-03-16,"Sealing",69646,218910.68
2022-03-17,"Cable Protection",18641,117710.99
2022-03-17,"Chassis NVH",9403,228886.24
2022-03-17,"Hoses & Bellows",13679,203360.21
2022-03-17,"Other Automotive",10266,90352.42
2022-03-17,"Powertrain Mounts",4425,261572.8
2022-03-17,"Sealing",72595,232806.02
2022-03-18,"Cable Protection",16718,111286.46
2022-03-18,"Chassis NVH",8288,200543.42
2022-03-18,"Hoses & Bellows",12703,193882.27
2022-03-18,"Other Automotive",9878,88842.68
2022-03-18,"Powertrain Mounts",4033,249064.87
2022-03-18,"Sealing",65152,203495.4
2022-03-19,"Cable Protection",3453,23253.29
2022-03-19,"Chassis NVH",2856,69469.4
2022-03-19,"Hoses & Bellows",4176,62213.4
2022-03-19,"Other Automotive",2578,23385.18
2022-03-19,"Powertrain Mounts",1202,69339.11
2022-03-19,"Sealing",15338,49487.27
2022-03-20,"Cable Protection",1843,12325.81
2022-03-20,"Chassis NVH",2324,54047.69
2022-03-20,"Hoses & Bellows",3391,51568.02
2022-03-20,"Other Automotive",1807,15870.75
2022-03-20,"Powertrain Mounts",886,52716.88
2022-03-20,"Sealing",9854,31214.52
2022-03-21,"Cable Protection",16598,103106.29
2022-03-21,"Chassis NVH",8853,209856.32
2022-03-21,"Hoses & Bellows",12750,193834.71
2022-03-21,"Other Automotive",9910,88600.34
2022-03-21,"Powertrain Mounts",4129,243061.87
2022-03-21,"Sealing",69448,219845.68
2022-03-22,"Cable Protection",18664,120574.23
2022-03-22,"Chassis NVH",9724,232725.61
2022-03-22,"Hoses & Bellows",13002,201966.07
2022-03-22,"Other Automotive",9652,86301.88
2022-03-22,"Powertrain Mounts",4322,250556.32
2022-03-22,"Sealing",78692,247128.44
2022-03-23,"Cable Protection",19582,130004.71
2022-03-23,"Chassis NVH",10054,240792.98
2022-03-23,"Hoses & Bellows",12590,188124.41
2022-03-23,"Other Automotive",10018,88451.34
2022-03-23,"Powertrain Mounts",4474,266321.77
2022-03-23,"Sealing",75821,238782.2
2022-03-24,"Cable Protection",19166,117832.45
2022-03-24,"Chassis NVH",9727,230442.28
2022-03-24,"Hoses & Bellows",13255,200784.89
2022-03-24,"Other Automotive",10021,89317.03
2022-03-24,"Powertrain Mounts",4516,262594.97
2022-03-24,"Sealing",70300,224489.72
2022-03-25,"Cable Protection",17202,114146.06
2022-03-25,"Chassis NVH",8991,212418.93
2022-03-25,"Hoses & Bellows",11929,181825.17
2022-03-25,"Other Automotive",9346,85049.04
2022-03-25,"Powertrain Mounts",4261,252126.51
2022-03-25,"Sealing",66956,211295.86
2022-03-26,"Cable Protection",3554,22739.38
2022-03-26,"Chassis NVH",2994,73137.23
2022-03-26,"Hoses & Bellows",4094,61738.39
2022-03-26,"Other Automotive",2609,23643.1
2022-03-26,"Powertrain Mounts",1319,79194.05
2022-03-26,"Sealing",15467,49735.73
2022-03-27,"Cable Protection",2072,13527.72
2022-03-27,"Chassis NVH",2261,54942.16
2022-03-27,"Hoses & Bellows",3361,49473.1
2022-03-27,"Other Automotive",1788,15953.91
2022-03-27,"Powertrain Mounts",988,57652.71
2022-03-27,"Sealing",9836,31310.49
2022-03-28,"Cable Protection",19051,124214.99
2022-03-28,"Chassis NVH",9319,217336.54
2022-03-28,"Hoses & Bellows",13268,195433.13
2022-03-28,"Other Automotive",9952,91222.01
2022-03-28,"Powertrain Mounts",4541,275814.71
2022-03-28,"Sealing",67445,219469.22
2022-03-29,"Cable Protection",19335,126889.88
2022-03-29,"Chassis NVH",9708,229816.81
2022-03-29,"Hoses & Bellows",14369,216694.23
2022-03-29,"Other Automotive",9565,85950.4
2022-03-29,"Powertrain Mounts",4620,257346.39
2022-03-29,"Sealing",71550,225652.83
2022-03-30,"Cable Protection",19255,119951.72
2022-03-30,"Chassis NVH",9577,228274.32
2022-03-30,"Hoses & Bellows",14614,220754.23
2022-03-30,"Other Automotive",9410,84892.98
2022-03-30,"Powertrain Mounts",4503,257109.2
2022-03-30,"Sealing",69491,228859.64
2022-03-31,"Cable Protection",19284,125161.36
2022-03-31,"Chassis NVH",9521,235356.79
2022-03-31,"Hoses & Bellows",14349,218873.04
2022-03-31,"Other Automotive",9556,85888.13
2022-03-31,"Powertrain Mounts",4465,253271.94
2022-03-31,"Sealing",71126,236695.28
2022-04-01,"Cable Protection",17635,112746.12
2022-04-01,"Chassis NVH",8729,209572.96
2022-04-01,"Hoses & Bellows",12656,187075.47
2022-04-01,"Other Automotive",9102,84444.23
2022-04-01,"Powertrain Mounts",4365,263352.24
2022-04-01,"Sealing",61547,196871.73
2022-04-02,"Cable Protection",3413,22820.36
2022-04-02,"Chassis NVH",3142,77000.77
2022-04-02,"Hoses & Bellows",4280,66724.72
2022-04-02,"Other Automotive",2473,22219.99
2022-04-02,"Powertrain Mounts",1399,79046.13
2022-04-02,"Sealing",14385,44626.53
2022-04-03,"Cable Protection",2050,13372.55
2022-04-03,"Chassis NVH",2563,62407.06
2022-04-03,"Hoses & Bellows",3564,53300.41
2022-04-03,"Other Automotive",1684,15123.15
2022-04-03,"Powertrain Mounts",1056,61798.55
2022-04-03,"Sealing",9583,31541.41
2022-04-04,"Cable Protection",16331,103698.13
2022-04-04,"Chassis NVH",8712,210893.52
2022-04-04,"Hoses & Bellows",11781,176200.25
2022-04-04,"Other Automotive",8680,80348.22
2022-04-04,"Powertrain Mounts",4211,240904.95
2022-04-04,"Sealing",66136,206921.15
2022-04-05,"Cable Protection",17708,113905.04
2022-04-05,"Chassis NVH",9671,231655.34
2022-04-05,"Hoses & Bellows",12874,191621.59
2022-04-05,"Other Automotive",8823,79300.87
2022-04-05,"Powertrain Mounts",4535,261686.97
2022-04-05,"Sealing",67536,219572.44
2022-04-06,"Cable Protection",17356,111647.68
2022-04-06,"Chassis NVH",9915,227998.28
2022-04-06,"Hoses & Bellows",12962,199696.49
2022-04-06,"Other Automotive",8973,81295.4
2022-04-06,"Powertrain Mounts",4571,276058.22
2022-04-06,"Sealing",68151,218891.8
2022-04-07,"Cable Protection",16858,109380.53
2022-04-07,"Chassis NVH",9437,226445.62
2022-04-07,"Hoses & Bellows",12289,184403.09
2022-04-07,"Other Automotive",8920,81117.48
2022-04-07,"Powertrain Mounts",4454,260972.5
2022-04-07,"Sealing",69610,226924.55
2022-04-08,"Cable Protection",16853,109241.09
2022-04-08,"Chassis NVH",9071,215236.88
2022-04-08,"Hoses & Bellows",12116,179062.59
2022-04-08,"Other Automotive",8530,78485.71
